identifier	gene_symbol	chromosome	status	n_obs	molecular_weight	gravy	pI	rna_detected_percent	highest_tpm	description	learned_canonical_prob
AT1G48510.1	SURFL	1	canonical	11.0	43.18475060000001	-0.1494791666666667	9.361534690856931	62.44	49.6345	Surfeit locus 1 cytochrome c oxidase biogenesis protein	0.5319828137480265
AT1G48520.1	GATB	1	canonical	70.0	60.94021990000012	-0.2700000000000002	7.517377281188964	99.98	148.6789	GLU-ADT subunit B	0.992031075699136
AT1G48540.1	F4HYH4	1	canonical	8.0	121.02503910000097	-0.4198494825964241	6.37786922454834	99.93	155.5917	Outer arm dynein light chain 1 protein	0.9980201478215505
AT1G48550.1	F4HYH6	1	canonical	9.0	36.05455130000004	0.0327217125382263	9.028491020202637	100.0	98.2615	Vacuolar protein sorting-associated protein 26	0.9696053833935407
AT1G48560.1	Q9LP68	1	canonical	8.0	72.38624980000036	-0.5486780715396573	8.513775444030763	98.5	27.3225	hypothetical protein	0.8893116201229718
AT1G48570.1	Q9LP67	1	canonical	35.0	51.817198600000125	-0.6615384615384613	8.843660163879395	99.89	84.6071	zinc finger (Ran-binding) family protein	0.9416220740108143
AT1G48580.1	F4HYI1	1	canonical	17.0	50.453779800000135	-0.7085903083700443	5.406775093078613	99.08	30.5152	nuclear localized protein	0.7380970997428136
AT1G48590.1	CAR5	1	canonical	4.0	19.1189463	-0.1934911242603549	6.297612571716309	43.1	125.9212	Calcium-dependent lipid-binding (CaLB domain) family protein	0.3681762091674339
AT1G48600.2	PEAM2	1	canonical	88.0	56.04481420000008	-0.453564154786151	5.065059089660643	100.0	745.218	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	0.991912221512534
AT1G48605.1	HAL3B	1	canonical	8.0	22.4146922	-0.0213930348258706	6.819508171081543	99.65	144.5731	Flavoprotein	0.9200687607886807
AT1G48610.1	D1861	1	canonical	72.0	21.673526399999997	-0.634433962264151	11.415561866760251	99.98	203.7747	AT hook motif-containing protein	0.9179964678807931
AT1G48620.1	Q4V3D1	1	canonical	91.0	51.39076900000005	-0.6922755741127343	9.800951194763185	100.0	368.3713	high mobility group A5	0.9806964331705417
AT1G48630.1	GPLPB	1	canonical	138.0	35.800107500000024	-0.1760736196319017	6.656664466857911	99.98	1043.493	receptor for activated C kinase 1B	0.9815607781280337
AT1G48635.1	PEX32	1	canonical	9.0	41.69577430000007	-0.1324175824175826	5.6175340652465815	100.0	107.5426	peroxin 3	0.9789862243158325
AT1G48650.1	DEXH3	1	canonical	83.0	134.25159000000093	-0.342940685045946	9.103725624084472	100.0	92.8767	DEA(D/H)-box RNA helicase family protein	0.9890844724903463
AT1G48660.2		1	canonical	30.0	64.5096182000002	-0.1192708333333334	5.09063663482666	73.66	147.9378	Auxin-responsive GH3 family protein	0.913771957085367
AT1G48740.1	Q9C742	1	canonical	3.0	45.55560810000002	-0.5435114503816795	6.518943595886231	90.83	341.8286	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	0.8778347683401467
AT1G48760.1	AP3D	1	canonical	52.0	97.15259200000062	-0.2693901035673189	5.828008842468263	100.0	135.4373	delta-adaptin	0.9983338632075898
AT1G48770.1	Q9C745	1	canonical	4.0	19.8953271	-0.7949720670391062	9.901650810241698	99.88	60.9783	hypothetical protein (DUF1639)	0.8926270432099269
AT1G48790.1	AMSH1	1	canonical	18.0	57.38259460000007	-0.4834319526627214	6.262542915344238	100.0	159.9369	associated molecule with the SH3 domain of STAM 1	0.9924816909825465
AT1G48830.1	RS71	1	canonical	106.0	21.9221625	-0.4680628272251311	9.80449695587158	100.0	1158.2346	Ribosomal protein S7e family protein	0.9545062791380011
AT1G48840.1	Q8VXZ2	1	canonical	29.0	77.4303224000003	0.1027496382054991	7.549150276184083	99.91	127.0633	heat-inducible transcription repressor (DUF639)	0.9887330444150836
AT1G48850.1	AROC	1	canonical	82.0	47.317166200000045	-0.3142201834862388	8.366851997375488	100.0	531.6428	chorismate synthase%2C putative / 5-enolpyruvylshikimate-3-phosphate phospholyase	0.9851310467085385
AT1G48860.1	Q9FVP6	1	canonical	101.0	55.8305502000001	-0.019961612284069	6.372753715515137	100.0	196.0036	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase%2C alpha/beta	0.9902657530453323
AT1G48880.1	TBL7	1	canonical	9.0	50.61619870000011	-0.1629213483146067	8.866224098205567	99.91	54.6656	TRICHOME BIREFRINGENCE-LIKE 7	0.9408224850362216
AT1G48900.1	SR543	1	canonical	66.0	54.78124410000007	-0.272929292929293	9.02262439727783	100.0	233.3218	Signal recognition particle%2C SRP54 subunit protein	0.9872481017200193
AT1G48910.1	YUC10	1	canonical	8.0	42.38611330000001	-0.1731070496083549	6.72345027923584	5.61	35.8136	Flavin-containing monooxygenase family protein	0.15331361754981065
AT1G48920.1	NUCL1	1	canonical	207.0	58.77265410000019	-1.172890484739674	5.115532112121582	100.0	2377.3676	nucleolin like 1	0.9807129161231489
AT1G48930.1	GUN5	1	canonical	36.0	69.07878930000017	-0.3787878787878794	8.978592491149904	67.16	525.2985	glycosyl hydrolase 9C1	0.9304569497074477
AT1G48940.1	Q4PSZ8	1	canonical	12.0	19.7495025	-0.0937853107344633	8.85700511932373	33.51	401.0529	early nodulin-like protein 6	0.797608587459054
AT1G48950.1	F4I045	1	canonical	46.0	65.2327024000002	-0.5621212121212121	8.096600532531738	99.98	84.5973	C3HC zinc finger-like protein	0.9826863263214133
AT1G48960.1	Q67Y32	1	canonical	2.0	24.65925510000001	-0.2789954337899542	9.841437339782717	100.0	183.0976	Adenine nucleotide alpha hydrolases-like superfamily protein	0.9538949881325206
AT1G48970.1	F4I048	1	canonical	29.0	72.96440780000027	-0.3615615615615611	9.28423709869385	100.0	200.1801	NagB/RpiA/CoA transferase-like superfamily protein	0.9962554311189309
AT1G48990.1	Q9M9A1	1	canonical	17.0	18.44307129999998	0.3100591715976326	9.891400337219238	30.32	505.0604	Oleosin family protein	0.8626895593430509
AT1G49010.1	Q9M9A3	1	canonical	9.0	34.47134410000001	-0.7519108280254768	8.928307151794435	98.43	438.5101	Duplicated homeodomain-like superfamily protein	0.8714033377059046
AT1G49030.1	PCR6	1	canonical	4.0	24.8751767	-0.3741071428571429	5.589341926574707	48.65	95.4647	PLAC8 family protein	0.3538862656913612
AT1G49040.1	SCD1	1	canonical	78.0	131.59134730000076	-0.1637742207245157	5.532673454284667	100.0	60.2188	stomatal cytokinesis defective / SCD1 protein (SCD1)	0.9940776216760279
AT1G49050.1	APCB1	1	canonical	6.0	65.34800000000021	-0.3020583190394512	5.059318351745604	100.0	137.338	Eukaryotic aspartyl protease family protein	0.9931039574149446
AT1G49140.1	NDBAA	1	canonical	32.0	12.530231599999992	-0.880373831775701	7.821320533752441	100.0	238.124	NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 10-B-like protein (Complex I subunit NDUFS6)	0.9713106873190852
AT1G49160.1	WNK7	1	canonical	20.0	61.68631760000011	-0.523747680890538	5.102061271667479	98.66	58.5652	Protein kinase superfamily protein	0.8654675644108167
AT1G49170.1	Q6NQG5	1	canonical	6.0	13.123767499999994	-0.219047619047619	9.37275218963623	99.88	76.3028	hypothetical protein	0.8613430858799355
AT1G49240.1	ACT8	1	canonical	324.0	41.86240260000007	-0.1809018567639261	5.367328834533691	100.0	3131.4766	actin 8	0.9868942387655988
AT1G49245.1	Q8LD83	1	canonical	7.0	8.462384099999996	-0.854054054054054	9.002897071838383	99.88	8577.9761	Prefoldin chaperone subunit family protein	0.943634913542714
AT1G49290.1	Q9XI97	1	canonical	3.0	38.77611840000007	-0.2452662721893492	6.970870399475097	14.26	13674.6982	Rho guanine nucleotide exchange factor	0.8520763634471101
AT1G49300.1	RAG3E	1	canonical	34.0	22.979592700000005	-0.3737864077669903	4.959224891662596	100.0	140.0353	RAB GTPase homolog G3E	0.9674665534213552
AT1G49310.1	Q84W13	1	canonical	2.0	9.730207799999995	-0.297560975609756	8.032518959045408	94.59	470.1792	transmembrane protein	0.5480986255614739
AT1G49320.1	USPL1	1	canonical	10.0	31.81067200000002	-0.0867857142857142	8.117423820495606	96.21	398.0191	unknown seed protein like 1	0.9134775680898114
AT1G49340.1	P4KA1	1	canonical	159.0	224.0142946999993	-0.1018737672583825	6.061617088317871	100.0	129.2643	Phosphatidylinositol 3- and 4-kinase family protein	0.9980458871279919
AT1G49350.1	Q94AT3	1	canonical	12.0	40.31955120000009	0.2661375661375657	7.579047584533692	99.91	53.6576	pfkB-like carbohydrate kinase family protein	0.9379140487154319
AT1G49380.1	CCS1	1	canonical	27.0	59.39191750000004	0.0338208409506398	8.635749626159669	99.93	137.4023	cytochrome c biogenesis protein family	0.9795268761829591
AT1G49390.1	Q9XIA5	1	canonical	8.0	39.607128800000005	-0.3448275862068967	5.838637733459472	81.53	114.8954	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	0.7126080598283066
AT1G49400.1	Q9XIA6	1	canonical	20.0	12.560269499999984	-0.3620689655172414	10.108852195739743	99.95	160.8247	Nucleic acid-binding%2C OB-fold-like protein	0.9084675898892737
AT1G49410.1	TOM6	1	canonical	18.0	6.265328899999998	0.0796296296296296	9.222669792175292	100.0	872.5462	translocase of the outer mitochondrial membrane 6	0.61096905990338
AT1G49430.1	LACS2	1	canonical	61.0	74.38827310000039	-0.1959398496240603	5.79765682220459	99.0	226.5697	long-chain acyl-CoA synthetase 2	0.9881334075789905
AT1G49450.1	Q9XIB2	1	canonical	6.0	52.49561380000009	-0.5791932059447982	6.2511182785034185	97.13	640.0269	Transducin/WD40 repeat-like superfamily protein	0.9409966053690311
AT1G49470.1	Q9XIB3	1	canonical	3.0	33.618927700000015	0.5317880794701986	7.141557884216309	95.65	350.009	transmembrane epididymal protein (DUF716)	0.862368652023563
AT1G49480.1	REM19	1	canonical	22.0	25.8498747	-0.7570796460176991	9.190048789978023	100.0	147.8446	related to vernalization1 1	0.9702264671021876
AT1G49490.1	PLRX2	1	canonical	45.0	90.98845100000008	-0.7356552538370749	4.927906608581542	99.74	3310.8661	Leucine-rich repeat (LRR) family protein	0.9966809006686201
AT1G49510.1	Q9XIB8	1	canonical	9.0	27.38172420000001	-0.0070833333333334	9.736482810974117	99.96	218.3126	embryo defective 1273	0.9566461949950621
AT1G49520.1	Q501B9	1	canonical	23.0	42.85843670000007	-1.0591397849462354	5.0370943069458	99.96	253.4202	SWIB complex BAF60b domain-containing protein	0.9532943391809927
AT1G49540.1	ELP2	1	canonical	40.0	92.68009050000062	-0.1412887828162294	5.9548734664917	99.98	68.6732	elongator protein 2	0.9950462005339813
AT1G49560.1	HHO6	1	canonical	3.0	37.381059000000064	-0.7534534534534535	7.637080192565918	99.91	121.5706	Homeodomain-like superfamily protein	0.9528894140336057
AT1G49570.1	PER10	1	canonical	12.0	38.02972290000007	-0.0448571428571428	6.1658029556274405	52.64	2989.5525	Peroxidase superfamily protein	0.9366824598173312
AT1G49580.1	CAMK8	1	canonical	27.0	67.97196230000024	-0.3519801980198012	9.146016883850098	99.96	415.6636	Calcium-dependent protein kinase (CDPK) family protein	0.9955995538347279
AT1G49590.1	ZOP1	1	canonical	9.0	27.052127700000003	-0.9661157024793396	9.62237377166748	100.0	87.7097	C2H2 and C2HC zinc fingers superfamily protein	0.9680878906174416
AT1G49600.1	RB47A	1	canonical	109.0	48.48276810000011	-0.7065168539325838	5.647545051574707	100.0	744.9055	RNA-binding protein 47A	0.9837615490382333
AT1G49620.1	KRP7	1	canonical	2.0	21.9646072	-1.001025641025641	4.654738426208497	99.91	177.1863	Cyclin-dependent kinase inhibitor family protein	0.94248500821882
AT1G49630.1	PREP2	1	canonical	151.0	121.13001630000092	-0.3598148148148134	5.326632118225096	99.96	25.755	presequence protease 2	0.9612361961628705
AT1G49640.1	CXE3	1	canonical	6.0	35.42847020000003	-0.3215873015873019	5.616510963439941	50.34	73.2452	alpha/beta-Hydrolases superfamily protein	0.5083506861718715
AT1G49650.1	CXE4	1	canonical	21.0	41.69268160000007	-0.2994652406417115	6.506495857238768	99.88	94.4691	alpha/beta-Hydrolases superfamily protein	0.961264616607398
AT1G49660.1	CXE5	1	canonical	30.0	35.196483900000004	-0.1962382445141066	5.32475643157959	100.0	667.3849	carboxyesterase 5	0.9841242886082587
AT1G49670.1	Q9FX95	1	canonical	76.0	67.94337060000022	0.0896661367249602	9.136217689514162	100.0	117.961	ARP protein (REF)	0.9818044360754963
AT1G49710.1	FUT12	1	canonical	33.0	57.30745170000005	-0.386159844054581	8.692223930358885	100.0	170.3702	fucosyltransferase 12	0.9854120566358948
AT1G49720.1	AI5L4	1	canonical	10.0	42.72709049999999	-0.7436224489795913	9.039450645446776	99.93	242.9463	abscisic acid responsive element-binding factor 1	0.9376475481886387
AT1G49730.1	Y1497	1	canonical	35.0	76.44251130000035	-0.1101010101010101	8.362919425964357	99.91	144.7043	Protein kinase superfamily protein	0.9933392542030552
AT1G49740.1	Q9FXA0	1	canonical	43.0	39.82517930000003	-0.1855153203342621	8.465810966491702	99.86	432.0655	PLC-like phosphodiesterases superfamily protein	0.9729601906628849
AT1G49750.1	Q9FXA1	1	canonical	70.0	54.40720679999994	-0.3139676113360329	8.424615669250489	98.01	1209.8402	Leucine-rich repeat (LRR) family protein	0.9623880373448482
AT1G49760.1	PABP8	1	canonical	171.0	72.7785168000002	-0.4786885245901638	7.128484916687013	100.0	738.618	poly(A) binding protein 8	0.9977565719030158
AT1G49780.1	PUB26	1	canonical	5.0	45.96270530000011	0.1282660332541564	6.278344154357909	99.98	179.8811	plant U-box 26	0.9794399798526802
AT1G49820.1	MTK	1	canonical	44.0	48.07019470000007	-0.2728571428571431	5.473731422424316	100.0	164.7875	S-methyl-5-thioribose kinase	0.9868904137844594
AT1G49840.1	Q9C6D0	1	canonical	10.0	53.974532900000135	-0.4155870445344126	9.20887355804443	99.95	81.6059	glutamyl-tRNA (Gln) amidotransferase subunit A (DUF620)	0.9506615618464616
AT1G49850.1	RHY1A	1	canonical	2.0	28.44628430000002	-0.8467999999999997	8.697639274597169	99.98	132.9302	RING/U-box superfamily protein	0.9777329230780841
AT1G49860.1	GSTFE	1	canonical	7.0	28.818979700000025	-0.2019685039370078	5.254162406921386	72.55	2907.341	glutathione S-transferase (class phi) 14	0.8762500141472854
AT1G49870.1	Q9C6C7	1	canonical	11.0	92.77800980000056	-0.8723429951690816	8.863065147399901	98.71	111.5624	myosin-2 heavy chain-like protein	0.9755607520900326
AT1G49880.1	ERV1	1	canonical	8.0	21.599391000000004	-0.6146596858638749	8.4622652053833	99.84	39.6093	Erv1/Alr family protein	0.9124632228176487
AT1G49890.1	QWRF2	1	canonical	13.0	71.53289510000035	-0.5092564491654018	10.75495433807373	100.0	334.2013	QWRF motif protein (DUF566)	0.9952808254054959
AT1G49910.1	BUB32	1	canonical	17.0	37.669862500000015	-0.4882005899705017	8.002476692199707	98.31	60.3059	Transducin/WD40 repeat-like superfamily protein	0.6710681343555983
AT1G49920.1	Q9C702	1	canonical	22.0	90.36503740000056	-0.5831847133757955	5.07659740447998	94.45	48.7755	MuDR family transposase	0.9547956717721287
AT1G49950.1	TRB1	1	canonical	21.0	33.01621840000007	-0.6226666666666658	9.338648414611818	100.0	230.6713	telomere repeat binding factor 1	0.9625190777916656
AT1G49960.1	NAT4	1	canonical	4.0	57.81704440000017	0.5817490494296593	9.197075843811035	89.9	138.4829	Xanthine/uracil permease family protein	0.8628397149901741
AT1G49970.1	CLPR1	1	canonical	55.0	42.627038600000034	-0.4410852713178296	8.81516513824463	100.0	470.5373	CLP protease proteolytic subunit 1	0.9793396047022371
AT1G49975.1	Q8LFL5	1	canonical	14.0	14.72952219999999	-0.7046511627906981	9.628820610046386	95.51	202.8107	photosystem I reaction center subunit N	0.41101663281876877
AT1G49980.1	POLK	1	canonical	5.0	75.25118030000036	-0.5700447093889717	7.199931526184082	99.96	46.0087	DNA/RNA polymerases superfamily protein	0.9894152505166086
AT1G49990.1	FB51	1	canonical	2.0	50.05135740000009	-0.3497674418604652	5.892691612243652	98.57	33.9458	F-box family protein	0.7323924032345875
AT1G50000.1	Q6E297	1	canonical	10.0	32.33307560000006	-0.0499999999999999	8.896395301818849	99.93	50.2793	methyltransferase	0.9550850703538016
AT1G50020.1	Q9LPM3	1	canonical	11.0	23.273314199999994	-0.3755980861244025	8.88401737213135	100.0	354.9182	tubulin alpha-6 chain	0.9639699574318079
AT1G50030.1	TOR	1	canonical	157.0	279.1865825000018	-0.1436114469971784	6.373322105407715	100.0	107.3085	target of rapamycin	0.9975673638441485
AT1G50050.1	F4I4X9	1	canonical	4.0	24.23205770000001	-0.0039823008849557	8.661536979675294	62.65	145.9895	CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein	0.3955200316087658
AT1G50060.1	Q9LPM7	1	canonical	5.0	18.006974100000004	-0.2211180124223601	8.503782844543458	54.66	5567.9304	CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein	0.718875572531541
AT1G50090.1	BCAT7	1	canonical	16.0	39.99813010000005	-0.1416893732970027	5.69085636138916	40.17	149.9529	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein	0.6772168524932678
AT1G50110.1	BCAT6	1	canonical	36.0	38.860977000000055	-0.1876404494382025	6.203600883483887	98.75	338.6486	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein	0.9392894497346381
AT1G50120.1	Q8RWU2	1	canonical	37.0	59.10451640000024	-0.4533834586466163	5.8275541305542	100.0	50.0845	immunoglobulin	0.9837043662050273
AT1G50140.1	F4I4Y6	1	canonical	81.0	113.28278010000118	-0.6005982053838477	6.122207450866698	100.0	64.3697	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.9968179618207322
AT1G50170.1	SIRB	1	canonical	16.0	24.925132100000024	-0.2711111111111112	8.47696399688721	100.0	85.0358	sirohydrochlorin ferrochelatase B	0.9517802799019488
AT1G50200.1	SYA	1	canonical	245.0	110.487940900001	-0.3220338983050831	6.050533485412598	100.0	340.2236	Alanyl-tRNA synthetase	0.9981222922265052
AT1G50240.2	TIO	1	canonical	67.0	145.41242450000118	-0.0266263237518914	7.190041542053222	99.89	45.3035	kinase family with ARM repeat domain-containing protein	0.9713721265051029
AT1G50250.1	FTSH1	1	canonical	224.0	76.75840300000034	-0.1317039106145253	5.639473915100097	99.89	605.4371	FTSH protease 1	0.9969611607440313
AT1G50260.1	Q8L626	1	canonical	17.0	75.36547050000043	-0.1234074074074078	6.264361763000489	99.89	84.5837	N-terminal-transmembrane-C2 domain type 5.1	0.9916380997782028
AT1G50300.1	TAF15	1	canonical	24.0	41.27553840000003	-1.2655913978494622	8.026716804504396	99.98	96.8435	TBP-associated factor 15	0.9638918060176215
AT1G50310.1	STP9	1	canonical	33.0	56.279326400000045	0.503288201160542	6.368945503234863	94.22	832.4234	sugar transporter 9	0.9436918380378239
AT1G50320.1	TRXX	1	canonical	19.0	19.647497900000005	0.0351648351648351	9.061498832702636	99.98	633.2456	thioredoxin X	0.9665046472940405
AT1G50325.1	B3H4N5	1	canonical	4.0	22.33352940000001	0.1487309644670048	5.400124931335449	5.87	122.9781	Plant invertase/pectin methylesterase inhibitor superfamily protein	0.43993115913633013
AT1G50360.1	MYO3	1	canonical	67.0	130.00700500000062	-0.4409366869037279	8.572054862976074	100.0	82.128	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.9899397724727309
AT1G50370.1	FYPP1	1	canonical	39.0	34.81898870000003	-0.2947194719471948	4.930919075012206	100.0	219.9689	Calcineurin-like metallo-phosphoesterase superfamily protein	0.9638714830515271
AT1G50380.2	A0A1P8ATN7	1	canonical	129.0	88.20029050000062	-0.3934278350515451	6.014554405212402	99.98	173.5884	Prolyl oligopeptidase family protein	0.9983243914188316
AT1G50400.1	TO402	1	canonical	22.0	34.4725121	-0.2612903225806456	5.581327629089355	96.4	37.0385	Eukaryotic porin family protein	0.5731453437128017
AT1G50410.1	CHR28	1	canonical	42.0	108.10939930000076	-0.5538226299694183	6.8419595718383786	99.98	111.2093	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein	0.9975404421799006
AT1G50420.1	SCL3	1	canonical	14.0	54.15218480000011	-0.2674273858921164	5.997218513488768	99.98	202.8236	scarecrow-like 3	0.9925215258767236
AT1G50430.1	ST7R	1	canonical	7.0	49.590484100000005	0.3685185185185184	8.650835227966308	100.0	308.744	Ergosterol biosynthesis ERG4/ERG24 family	0.9834475171474282
AT1G50440.1	Q9LPR9	1	canonical	3.0	28.78451390000001	-0.1592000000000003	4.887550926208497	99.98	121.6509	RING/FYVE/PHD zinc finger superfamily protein	0.963185179700995
AT1G50450.1	Q94BZ0	1	canonical	35.0	46.5590768000001	-0.0572429906542055	8.18859691619873	99.95	111.0381	Saccharopine dehydrogenase	0.9640937273702909
AT1G50460.1	HXK3	1	canonical	29.0	54.5901161000001	0.0345381526104418	5.546201133728027	99.96	210.1498	hexokinase-like 1	0.9872948259161838
AT1G50480.1	FTHS	1	canonical	200.0	67.80099190000031	-0.0397476340694006	6.261008262634278	100.0	637.7694	10-formyltetrahydrofolate synthetase	0.9960595288089424
AT1G50490.1	UBC20	1	canonical	12.0	19.792176699999995	-0.4094444444444444	5.193060493469236	99.95	287.51	ubiquitin-conjugating enzyme 20	0.9579693610452737
AT1G50500.1	VP53A	1	canonical	76.0	92.5287069000006	-0.3126811594202893	5.973857688903809	99.98	63.3723	Membrane trafficking VPS53 family protein	0.9955259886675849
AT1G50510.1	Q84K35	1	canonical	26.0	34.79934070000002	0.0690909090909091	7.064029502868652	100.0	81.4472	indigoidine synthase A family protein	0.972684741461861
AT1G50520.1	F4I6I6	1	canonical	15.0	60.5660733000001	-0.1105065666041277	6.221562004089355	95.54	198.1304	cytochrome P450%2C family 705%2C subfamily A%2C polypeptide 27	0.9659178784938469
AT1G50560.1	Q9LPS6	1	canonical	20.0	58.47148060000006	-0.0658959537572256	7.099497032165528	96.62	295.1603	cytochrome P450%2C family 705%2C subfamily A%2C polypeptide 25	0.9719769898141901
AT1G50570.1	Q9LPS7	1	canonical	40.0	42.15215990000012	-0.3414948453608247	4.432043266296388	100.0	502.7281	Calcium-dependent lipid-binding (CaLB domain) family protein	0.9806568400768834
AT1G50575.1	Q93XW9	1	canonical	12.0	33.971426900000004	-0.18202614379085	6.027797889709471	99.89	66.6908	Putative lysine decarboxylase family protein	0.9519851632589089
AT1G50580.1	U79B5	1	canonical	13.0	50.46413360000008	-0.0189732142857142	5.856144142150878	62.86	72.7357	UDP-Glycosyltransferase superfamily protein	0.7595543478961696
AT1G50600.1	SCL5	1	canonical	39.0	66.64055050000022	-0.3465661641541034	5.770260429382325	100.0	475.8905	scarecrow-like 5	0.9969163027699953
AT1G50610.1	PRK5	1	canonical	28.0	76.86048830000024	-0.2555393586005834	7.869156074523926	33.67	197.9526	Leucine-rich repeat protein kinase family protein	0.8732141724885057
AT1G50620.1	Q9C6P8	1	canonical	42.0	68.36268410000017	-0.6634340222575515	5.232620429992674	99.98	124.4009	RING/FYVE/PHD zinc finger superfamily protein	0.9925717640777053
AT1G50630.1	Q9LPT3	1	canonical	6.0	51.60276270000009	0.2022075055187633	6.196723365783691	99.91	256.4953	extracellular ligand-gated ion channel protein (DUF3537)	0.9821375531088257
AT1G50660.1	Q9LPT5	1	canonical	22.0	82.13720430000038	-0.9340689655172386	8.5772123336792	99.98	282.151	actin cytoskeleton-regulatory complex pan-like protein	0.9967767675862715
AT1G50670.1	OTU2	1	canonical	36.0	23.4251756	-0.3533653846153847	4.977697563171386	100.0	164.9887	OTU-like cysteine protease family protein	0.9642174313321342
AT1G50700.1	CDPKX	1	canonical	38.0	58.6051545000001	-0.4740882917466408	6.041837120056152	99.88	55.8398	calcium-dependent protein kinase 33	0.9726806632141085
AT1G50710.1	4-Aug	1	canonical	22.0	47.76942840000002	-0.357919621749409	5.100185585021971	99.98	103.283	HAUS augmin-like complex subunit	0.9775466326854068
AT1G50720.1	STGL3	1	canonical	3.0	17.0734368	-0.1519480519480519	7.86270923614502	32.05	124.4818	Stigma-specific Stig1 family protein	0.34543747702739713
AT1G50730.3	A0A1P8ATR6	1	canonical	28.0	102.60233810000076	-0.0154015401540156	5.273771858215332	100.0	54.8722	hypothetical protein	0.9885509252496757
AT1G50830.1	Q9C6J6	1	canonical	9.0	88.41323200000056	-0.584635416666666	8.436542320251466	90.5	41.9377	Aminotransferase-like%2C plant mobile domain family protein	0.9229410769457044
AT1G50840.1	POLIA	1	canonical	43.0	117.23239040000082	-0.4671428571428556	6.53247127532959	99.95	116.7453	polymerase gamma 2	0.9976916852993579
AT1G50890.1	TORL1	1	canonical	20.0	89.9440927000006	-0.395371498172959	5.329246711730956	99.96	86.5343	ARM repeat superfamily protein	0.9975691262829045
AT1G50900.1	LTD	1	canonical	30.0	19.1893838	-0.3377142857142857	5.880414390563964	99.72	464.6718	Ankyrin repeat family protein	0.9264379650866678
AT1G50910.1	Q56Y76	1	canonical	19.0	55.71501130000016	-0.5257999999999996	4.96956958770752	99.72	37.8642	hypothetical protein	0.9239301586931395
AT1G50920.1	NOG1	1	canonical	96.0	76.8479432000004	-0.6350223546944854	9.620955467224118	100.0	943.3636	Nucleolar GTP-binding protein	0.9967666210636721
AT1G50940.1	ETFA	1	canonical	29.0	38.40739200000002	0.0862258953168044	6.460115242004394	100.0	165.5389	electron transfer flavoprotein alpha	0.9738163118925811
AT1G50950.1	F4I7X9	1	canonical	16.0	54.36290540000007	-0.2756198347107439	6.36513729095459	99.79	36.2236	protein disulfide-isomerase 5-like protein (DUF1692)	0.9463790785217403
AT1G50990.1	BSK11	1	canonical	8.0	57.609978400000166	-0.4057199211045358	6.168019676208496	8.97	67.1819	kinase with tetratricopeptide repeat domain-containing protein	0.3372765334847973
AT1G51010.1	F4I7Y6	1	canonical	2.0	9.8110732	-1.232926829268293	6.600621223449708	14.65	251.4442	hypothetical protein	0.39216087228752616
AT1G51030.1	F4I7Y8	1	canonical	2.0	9.399680399999998	-1.0550000000000002	5.573085975646971	39.86	112.3259	hypothetical protein	0.2218168538604748
AT1G51035.1	F4I7Y9	1	canonical	6.0	8.851152199999998	-0.8266666666666665	6.904709815979005	59.56	373.6835	hypothetical protein	0.5475060890002598
AT1G51060.1	H2A1	1	canonical	81.0	13.933958299999976	-0.2696969696969695	10.096990013122555	100.0	2606.0899	histone H2A 10	0.938278459924767
AT1G51080.1	Q9C683	1	canonical	9.0	33.09123830000003	-0.906666666666667	9.768459129333491	99.82	103.7732	golgin family A protein	0.9264929645743296
AT1G51090.1	Q9C684	1	canonical	2.0	19.13826099999997	-0.4812865497076024	8.92044200897217	94.57	1465.3754	Heavy metal transport/detoxification superfamily protein	0.663019960630466
AT1G51100.1	Q9C685	1	canonical	34.0	24.160637200000004	-0.5199052132701427	9.363339805603026	99.68	348.3973	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel protein	0.8810041003181318
AT1G51110.1	PAP12	1	canonical	51.0	45.76486120000004	-0.17799511002445	8.101564598083495	99.37	399.9883	Plastid-lipid associated protein PAP / fibrillin family protein	0.9552313258818995
AT1G51130.1	NSE4A	1	canonical	23.0	45.08146980000012	-0.7099255583126542	6.985136985778809	99.91	443.4833	Nse4%2C component of Smc5/6 DNA repair complex	0.9686692106197883
AT1G51140.1	BH122	1	canonical	27.0	41.71597430000006	-0.6788918205804744	6.434537696838378	100.0	342.0514	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.9782924865068066
AT1G51160.1	Q9SYB8	1	canonical	12.0	18.96462979999999	-0.2491124260355028	9.205908012390136	100.0	444.8547	SNARE-like superfamily protein	0.9576125590419077
